fund_name,date_filled,quarter_date,sym,cl,value,shares,change,pct_change,transaction_type
COINBASE GLOBAL INC,1/28/2025,Q4 2024,COIN,COM CL A,407450,1640962,-126600,-7.162407881590576,Sell
AIRBNB INC,1/28/2025,Q4 2024,ABNB,COM CL A,69993,532631,-9000,-1.6616478746600545,Sell
ROBINHOOD MKTS INC,1/28/2025,Q4 2024,,COM CL A,31997,858770,769899,866.3107200324065,Buy
SAMSARA INC,1/28/2025,Q4 2024,,COM CL A,29709,679997,450411,196.18400076659728,Buy
AIRBNB INC,1/28/2025,Q4 2024,ABNB,COM CL A,18577,210000,-331631,-61.228216257932054,Sell
MAPLEBEAR INC,1/28/2025,Q4 2024,CART,COM,9186,221783,7623,3.55948823309675,Buy
AFFIRM HLDGS INC,1/28/2025,Q4 2024,AFRM,COM CL A,7765,127520,-9000,-6.592440668033987,Sell
MICROSOFT CORP,1/28/2025,Q4 2024,MSFT,COM,7616,353000,335288,1892.9990966576333,Buy
COINBASE GLOBAL INC,1/28/2025,Q4 2024,,COM CL A,6112,137500,-1630062,-92.22092350933093,Sell
AFFIRM HLDGS INC,1/28/2025,Q4 2024,AFRM,COM CL A,2461,50000,-86520,-63.375329622033405,Sell
AMAZON COM INC,1/28/2025,Q4 2024,AMZN,COM,2088,9520,0,0.0,Other
MAPLEBEAR INC,1/28/2025,Q4 2024,CART,COM,847,373300,159140,74.30892790437056,Buy
NETFLIX INC,1/28/2025,Q4 2024,NFLX,COM,500,562,0,0.0,Other
ROCKET PHARMACEUTICALS INC,1/28/2025,Q4 2024,RCKT,COM,142,11335,0,0.0,Other
CLOUDFLARE INC,1/28/2025,Q4 2024,NET,CL A COM,111,1040,-6000,-85.22727272727273,Sell
DIGITALOCEAN HLDGS INC,1/28/2025,Q4 2024,DOCN,COM,105,3088,0,0.0,Other
ADVANTAGE SOLUTIONS INC,1/28/2025,Q4 2024,ADV,COM CL A,55,18867,0,0.0,Other
INVIVYD INC,1/28/2025,Q4 2024,IVVD,COM,35,79869,0,0.0,Other
LYFT INC,1/28/2025,Q4 2024,LYFT,CL A COM,28,2244,0,0.0,Other
CURIS INC,1/28/2025,Q4 2024,CRIS,COM,20,6653,0,0.0,Other
SALESFORCE INC,1/28/2025,Q4 2024,CRM,COM,9,28,-9600,-99.7091815538014,Sell
OPENDOOR TECHNOLOGIES INC,1/28/2025,Q4 2024,OPEN,COM,7,4422,0,0.0,Other
SERVICENOW INC,1/28/2025,Q4 2024,NOW,COM,6,6,0,0.0,Other
MICROSOFT CORP,1/28/2025,Q4 2024,MSFT,COM,5,12,-17700,-99.93224932249322,Sell
DISNEY WALT CO,1/28/2025,Q4 2024,DIS,COM,2,22,0,0.0,Other
COINBASE GLOBAL INC,10/24/2024,Q3 2024,,COM CL A,314926,1767562,-94900,-5.095405973383619,Sell
AIRBNB INC,10/24/2024,Q3 2024,ABNB,COM CL A,68684,541631,-76500,-12.376017381428856,Sell
AIRBNB INC,10/24/2024,Q3 2024,ABNB,COM CL A,18577,146500,-471631,-76.29952226955128,Sell
SAMSARA INC,10/24/2024,Q3 2024,IOT,COM CL A,11047,229586,227020,8847.233047544818,Buy
SAMSARA INC,10/24/2024,Q3 2024,IOT,COM CL A,11038,229400,226834,8839.984411535464,Buy
MAPLEBEAR INC,10/24/2024,Q3 2024,CART,COM,8724,214160,195602,1054.0036641879515,Buy
MICROSOFT CORP,10/24/2024,Q3 2024,MSFT,COM,7621,17712,-2300,-11.49310413751749,Sell
MICROSOFT CORP,10/24/2024,Q3 2024,MSFT,COM,7616,17700,-2312,-11.553068159104537,Sell
COINBASE GLOBAL INC,10/24/2024,Q3 2024,,COM CL A,6112,473500,-1388962,-74.5766625037182,Sell
AFFIRM HLDGS INC,10/24/2024,Q3 2024,AFRM,COM CL A,5572,136520,-38600,-22.04202832343536,Sell
SALESFORCE INC,10/24/2024,Q3 2024,CRM,COM,2635,9628,-3900,-28.829095209934952,Sell
AFFIRM HLDGS INC,10/24/2024,Q3 2024,AFRM,COM CL A,2461,60300,-114820,-65.56646870717222,Sell
ROBINHOOD MKTS INC,10/24/2024,Q3 2024,HOOD,COM CL A,2081,88871,0,0.0,Other
AMAZON COM INC,10/24/2024,Q3 2024,AMZN,COM,1773,9520,0,0.0,Other
MAPLEBEAR INC,10/24/2024,Q3 2024,CART,COM,847,20800,2242,12.081043215863778,Buy
CLOUDFLARE INC,10/24/2024,Q3 2024,NET,CL A COM,569,7040,-400,-5.376344086021505,Sell
NETFLIX INC,10/24/2024,Q3 2024,NFLX,COM,398,562,0,0.0,Other
ROCKET PHARMACEUTICALS INC,10/24/2024,Q3 2024,RCKT,COM,209,11335,0,0.0,Other
DIGITALOCEAN HLDGS INC,10/24/2024,Q3 2024,DOCN,COM,124,3088,0,0.0,Other
INVIVYD INC,10/24/2024,Q3 2024,IVVD,COM,81,79869,0,0.0,Other
ADVANTAGE SOLUTIONS INC,10/24/2024,Q3 2024,ADVWW,COM CL A,64,18867,0,0.0,Other
CURIS INC,10/24/2024,Q3 2024,CRIS,COM,35,6653,0,0.0,Other
LYFT INC,10/24/2024,Q3 2024,LYFT,CL A COM,28,2244,0,0.0,Other
OPENDOOR TECHNOLOGIES INC,10/24/2024,Q3 2024,OPEN,COM,8,4422,0,0.0,Other
SERVICENOW INC,10/24/2024,Q3 2024,NOW,COM,5,6,0,0.0,Other
DISNEY WALT CO,10/24/2024,Q3 2024,DIS,COM,2,22,0,0.0,Other
COINBASE GLOBAL INC,7/22/2024,Q2 2024,COIN,COM CL A,413894,1862462,-30675,-1.620326473995279,Sell
COINBASE GLOBAL INC,7/22/2024,Q2 2024,COIN,COM CL A,125782,566000,-1327137,-70.10253351976111,Sell
AIRBNB INC,7/22/2024,Q2 2024,ABNB,COM CL A,93727,618131,-106110,-14.651200360101127,Sell
